No,reviewId,Ulasan,Rating,Tanggal,Label Tipe,Aspek/Modul,Alasan_Singkat (opsional),Ambigu? (Y/N),Untuk_Sampel_Kappa? (Y/N),Nama Aplikasi
22102,79c19045-c866-4303-8264-a458ef80d766,Tetap Mantap,5,2026-05-31 07:55:51,Other,Other,,,Y,IKD
21859,dfc86470-1a74-401c-923a-77b1afb1d640,sangat membantu untuk kebutuhan administrasi disaat urgent,5,2026-06-05 20:55:37,Other,Other,,,N,IKD
26943,5c5bcfa8-6118-4957-a18b-dcc0ced819e0,bagus dan mudah diakses,5,2025-08-26 13:14:25,Other,Other,,,N,IKD
23969,c64d7b6d-d011-4e8e-ada5-e75549bee546,"asli cacad, aplikasi online tapi daftar offline lah aneh, udh punya ktp padahal, giliran daftar suruh hubungi operator kocaknya wakanda ini",1,2026-02-27 11:09:42,Feature Request,Login/OTP/Verifikasi,,,N,IKD
25335,a7aefff3-6a28-46c7-ae69-de0ac4974781,"desain jelek, server lemot sering maintenance, gk jaminan data kita aman, sok2 an bikin digital tp dana gk maksimal ya gini, struktur apk nya ya ampuuuuun",1,2025-11-28 08:14:06,Bug Report,Peforma Umum,,,N,IKD
24118,afe4393f-80fd-4e25-82f9-30994837d19e,tidak sesuai harapan. programmernya ngapain ini?,1,2026-02-14 11:55:10,Other,Other,,,N,IKD
25003,e14a1cfa-a70d-4a3c-97ee-0b98cc579b35,nglemot,1,2025-12-19 10:04:38,Bug Report,Peforma Umum,,,N,IKD
20986,3dfd022d-8c9c-41e4-a4a2-5507e59e0f88,"kasian yang hp ny belum mumpuni, punya saya ga bisa karena hp ny yang sudah tidak support sama versi terbaru",1,2026-06-29 19:31:50,Bug Report,Peforma Umum,,,N,IKD
24326,7f66b64f-21c1-4d79-98c0-8c64589e6902,fitur download dokumwn kk tidak ada gak jelas banget bayar pajek dapet e aplikasi ginian malah nyusahin rakyat !,1,2026-02-01 09:13:53,Feature Request,Layanan Inti,,,N,IKD
25030,16493873-5dd1-4a7e-b570-6d70c3587a7a,daftar offline? buat dapet kode qr? ngapain ada aplikasi ini? ih cape banget,1,2025-12-17 12:01:03,Feature Request,Login/OTP/Verifikasi,,,N,IKD
21122,2065644e-9ff0-48b7-a58f-c5d5012743cc,sangat mendukung...sebisa mungkin cantumkan juga hak warga negara/desil...transparansi,5,2026-06-25 20:40:03,Feature Request,Layanan Inti,,,N,IKD
22894,c13ab889-c4ee-4404-807f-e7e368f726ca,kalau bisa ditingkatkan lagi,5,2026-05-08 20:11:47,Other,Other,,,N,IKD
21144,3b5db732-cf55-42ca-985b-3e8cfc6ffea8,sangat bermanfaat sekali maka saya sarankan bagi warga Negara Indonesia daftarkan diri Anda untuk mbuat IKD nanti segala bantuan pemerintah harus punya IKD dan jangan salahkan pemerintah kalau nggak dapat bantuan 🇮🇩🇮🇩,5,2026-06-25 11:57:31,Other,Other,,,N,IKD
23146,b4f7fb77-ed90-43ea-83b2-1172e0d6a1be,mudah-mudahan bisa ditambahkan ganti foto KTP jadi tidak perlu ke kantor untuk merubahnya. untuk versi saat ini sangat mantap dan melesat,5,2026-04-30 09:30:31,Feature Request,Update Data,,,N,IKD
20011,a9951211-a82e-4413-b5e5-edae638f9529,Alhamdulillah trims Google,5,2026-07-28 08:30:56,Other,Other,,,Y,IKD
25300,658207e7-c7b6-4cc5-9c15-61c51b0828e4,app jelek busuk ga bisa login,1,2025-12-01 10:14:36,Bug Report,Login/OTP/Verifikasi,,,N,IKD
26320,fdb4aff8-24d9-4adf-86ca-4728834afef5,"aplikasi super aneh. sudah punya akun, lama g dibuka, sekalinya mau dibuka malah diarahkan mendaftar dr awal lagi.",1,2025-10-04 17:02:19,Bug Report,Login/OTP/Verifikasi,,,N,IKD
